id,created_at,text,type,label,updated_at
e006ee12-18f5-4403-bc33-431842ed8e86,2025-06-12 10:44:34.619025-04,"What's your fave meat? 1) beef 2) pork, 3) chicken",3,1:BestMeat,2025-06-12 10:44:34.619025-04
9004b960-1bf2-4b80-8424-bc7f949a172a,2025-06-12 10:44:34.619041-04,"Sorry, that's not one of the fruit choices. Try again?",4,1:BestFruitProcess,2025-06-12 10:44:34.619041-04
2e264145-9d36-4fb7-9ff1-cc25dc931bd2,2025-06-12 10:44:34.619038-04,"What's your fave fruit? 1) apples 2) bananas, 3) grapes",3,1:BestFruit,2025-06-12 10:44:34.619038-04
c7f241ec-4f4c-4216-81c8-6301824308cd,2025-06-13 11:05:04.618798-04,Talk to you tomorrow.,5,3:EndOfChat,2025-06-13 11:05:04.618798-04
31732282-6c04-45d5-a71e-9c78c81c08c5,2025-06-13 11:05:04.618817-04,"Sorry, that's not one of the food choices. Try again?",4,0:FoodQuizProcess,2025-06-13 11:05:04.618817-04
e65e0c87-92a2-481d-adb5-e2c9b24c6dc8,2025-06-13 11:05:04.618831-04,"Sorry, that's not one of the veggie choices. Try again?",4,1:BestVegProcess,2025-06-13 11:05:04.618831-04
8ca8ebbf-0e88-40a1-be11-94f93dd3d12f,2025-06-13 11:05:04.618821-04,"What's your fave vegetable? 1) carrots 2) broccoli, 3) peppers",3,1:BestVegPresent,2025-06-13 11:05:04.618821-04
22a6c794-a3e2-41f1-86e3-d3869ec14497,2025-06-13 11:05:04.618848-04,"Sorry, that's not one of the meat choices. Try again?",4,1:BestMeatProcess,2025-06-13 11:05:04.618848-04
3a1ae0a8-8c7a-4fc6-8567-041c59c9aa3f,2025-06-13 11:05:04.618841-04,"What's your fave meat? 1) beef 2) pork, 3) chicken",3,1:BestMeat,2025-06-13 11:05:04.618841-04
cef61574-bb80-4843-8fbf-648f8596f95f,2025-06-13 11:05:04.618858-04,"Sorry, that's not one of the fruit choices. Try again?",4,1:BestFruitProcess,2025-06-13 11:05:04.618858-04
d1701968-9831-41cb-82ca-0e75495583d0,2025-06-13 11:05:04.618855-04,"What's your fave fruit? 1) apples 2) bananas, 3) grapes",3,1:BestFruit,2025-06-13 11:05:04.618855-04
ceea4bee-806d-43d9-b5ec-909f4cb740e2,2025-06-23 14:47:27.147078-04,EDITED: What kind of food shall we chat about? 1) vegetables 2) meat 3) fruit,3,0:FoodQuiz,2025-07-01 12:10:54.526754-04
1b3e7a11-5b2b-4212-8fac-29bafd5d5b56,2025-10-08 16:57:21.65125-04,Incomplete message for notification script.,1,BeginEnd,2025-10-08 16:57:21.65125-04
a78e07b4-1cb2-4de3-8cf8-24d49d2a99b2,2025-10-10 10:05:49.434693-04,text for createNodeWithEdge,8,BeginEnd,2025-10-10 10:05:49.434693-04
